location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Estonia,2022-12-03,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2094694,868255,860738,583832
Estonia,2022-12-04,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2094761,868259,860742,583897
Estonia,2022-12-05,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2095057,868275,860759,584185
Estonia,2022-12-06,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2095462,868288,860773,584584
Estonia,2022-12-07,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2095941,868308,860792,585050
Estonia,2022-12-08,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2096344,868318,860802,585446
Estonia,2022-12-09,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2096778,868329,860810,585873
Estonia,2022-12-10,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2096880,868336,860817,585973
Estonia,2022-12-11,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2096919,868338,860819,586011
Estonia,2022-12-12,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2097144,868347,860827,586232
Estonia,2022-12-13,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2097543,868358,860840,586621
Estonia,2022-12-14,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2097940,868374,860856,587007
Estonia,2022-12-15,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2098299,868383,860868,587359
Estonia,2022-12-16,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2098678,868400,860886,587731
Estonia,2022-12-17,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2098785,868412,860897,587835
Estonia,2022-12-18,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2098811,868413,860898,587861
Estonia,2022-12-19,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2099095,868427,860910,588141
Estonia,2022-12-20,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2099536,868441,860920,588573
Estonia,2022-12-21,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2099921,868452,860934,588947
Estonia,2022-12-22,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2100224,868467,860954,589241
Estonia,2022-12-23,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2100383,868480,860960,589389
Estonia,2022-12-24,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2100403,868480,860961,589408
Estonia,2022-12-25,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2100407,868480,860961,589412
Estonia,2022-12-26,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,2100425,868482,860963,589429
