entity,iso_code,date,indicator,value
Algeria,DZA,2020-07-17,Daily ICU occupancy,62.0
Algeria,DZA,2020-07-17,Daily ICU occupancy per million,1.381
Algeria,DZA,2020-07-18,Daily ICU occupancy,67.0
Algeria,DZA,2020-07-18,Daily ICU occupancy per million,1.492
Algeria,DZA,2020-07-20,Daily ICU occupancy,64.0
Algeria,DZA,2020-07-20,Daily ICU occupancy per million,1.425
Algeria,DZA,2020-07-21,Daily ICU occupancy,56.0
Algeria,DZA,2020-07-21,Daily ICU occupancy per million,1.247
Algeria,DZA,2020-07-22,Daily ICU occupancy,51.0
Algeria,DZA,2020-07-22,Daily ICU occupancy per million,1.136
Algeria,DZA,2020-07-23,Daily ICU occupancy,66.0
Algeria,DZA,2020-07-23,Daily ICU occupancy per million,1.47
Algeria,DZA,2020-07-25,Daily ICU occupancy,63.0
Algeria,DZA,2020-07-25,Daily ICU occupancy per million,1.403
Algeria,DZA,2020-07-26,Daily ICU occupancy,64.0
Algeria,DZA,2020-07-26,Daily ICU occupancy per million,1.425
Algeria,DZA,2020-07-27,Daily ICU occupancy,58.0
Algeria,DZA,2020-07-27,Daily ICU occupancy per million,1.292
Algeria,DZA,2020-07-31,Daily ICU occupancy,65.0
Algeria,DZA,2020-07-31,Daily ICU occupancy per million,1.448
Algeria,DZA,2020-08-01,Daily ICU occupancy,64.0
Algeria,DZA,2020-08-01,Daily ICU occupancy per million,1.425
Algeria,DZA,2020-08-02,Daily ICU occupancy,54.0
Algeria,DZA,2020-08-02,Daily ICU occupancy per million,1.203
Algeria,DZA,2020-08-04,Daily ICU occupancy,54.0
Algeria,DZA,2020-08-04,Daily ICU occupancy per million,1.203
Algeria,DZA,2020-08-05,Daily ICU occupancy,55.0
Algeria,DZA,2020-08-05,Daily ICU occupancy per million,1.225
Algeria,DZA,2020-08-06,Daily ICU occupancy,63.0
Algeria,DZA,2020-08-06,Daily ICU occupancy per million,1.403
Algeria,DZA,2020-08-09,Daily ICU occupancy,57.0
Algeria,DZA,2020-08-09,Daily ICU occupancy per million,1.269
Algeria,DZA,2020-08-10,Daily ICU occupancy,47.0
Algeria,DZA,2020-08-10,Daily ICU occupancy per million,1.047
Algeria,DZA,2020-08-12,Daily ICU occupancy,53.0
Algeria,DZA,2020-08-12,Daily ICU occupancy per million,1.18
Algeria,DZA,2020-08-13,Daily ICU occupancy,44.0
Algeria,DZA,2020-08-13,Daily ICU occupancy per million,0.98
Algeria,DZA,2020-08-14,Daily ICU occupancy,46.0
Algeria,DZA,2020-08-14,Daily ICU occupancy per million,1.024
Algeria,DZA,2020-08-15,Daily ICU occupancy,37.0
Algeria,DZA,2020-08-15,Daily ICU occupancy per million,0.824
Algeria,DZA,2020-08-16,Daily ICU occupancy,40.0
Algeria,DZA,2020-08-16,Daily ICU occupancy per million,0.891
Algeria,DZA,2020-08-17,Daily ICU occupancy,40.0
Algeria,DZA,2020-08-17,Daily ICU occupancy per million,0.891
Algeria,DZA,2020-08-18,Daily ICU occupancy,46.0
Algeria,DZA,2020-08-18,Daily ICU occupancy per million,1.024
Algeria,DZA,2020-08-19,Daily ICU occupancy,44.0
Algeria,DZA,2020-08-19,Daily ICU occupancy per million,0.98
Algeria,DZA,2020-08-20,Daily ICU occupancy,41.0
Algeria,DZA,2020-08-20,Daily ICU occupancy per million,0.913
Algeria,DZA,2020-08-21,Daily ICU occupancy,41.0
Algeria,DZA,2020-08-21,Daily ICU occupancy per million,0.913
Algeria,DZA,2020-08-22,Daily ICU occupancy,49.0
Algeria,DZA,2020-08-22,Daily ICU occupancy per million,1.091
Algeria,DZA,2020-08-23,Daily ICU occupancy,41.0
Algeria,DZA,2020-08-23,Daily ICU occupancy per million,0.913
Algeria,DZA,2020-08-24,Daily ICU occupancy,37.0
Algeria,DZA,2020-08-24,Daily ICU occupancy per million,0.824
Algeria,DZA,2020-08-25,Daily ICU occupancy,31.0
Algeria,DZA,2020-08-25,Daily ICU occupancy per million,0.69
Algeria,DZA,2020-08-26,Daily ICU occupancy,28.0
Algeria,DZA,2020-08-26,Daily ICU occupancy per million,0.624
Algeria,DZA,2020-08-27,Daily ICU occupancy,28.0
Algeria,DZA,2020-08-27,Daily ICU occupancy per million,0.624
Algeria,DZA,2020-08-28,Daily ICU occupancy,31.0
Algeria,DZA,2020-08-28,Daily ICU occupancy per million,0.69
Algeria,DZA,2020-08-29,Daily ICU occupancy,28.0
Algeria,DZA,2020-08-29,Daily ICU occupancy per million,0.624
Algeria,DZA,2020-08-30,Daily ICU occupancy,29.0
Algeria,DZA,2020-08-30,Daily ICU occupancy per million,0.646
Algeria,DZA,2020-08-31,Daily ICU occupancy,29.0
Algeria,DZA,2020-08-31,Daily ICU occupancy per million,0.646
Algeria,DZA,2020-09-01,Daily ICU occupancy,38.0
Algeria,DZA,2020-09-01,Daily ICU occupancy per million,0.846
Algeria,DZA,2020-09-02,Daily ICU occupancy,35.0
Algeria,DZA,2020-09-02,Daily ICU occupancy per million,0.779
Algeria,DZA,2020-09-03,Daily ICU occupancy,44.0
Algeria,DZA,2020-09-03,Daily ICU occupancy per million,0.98
Algeria,DZA,2020-09-04,Daily ICU occupancy,42.0
Algeria,DZA,2020-09-04,Daily ICU occupancy per million,0.935
Algeria,DZA,2020-09-05,Daily ICU occupancy,42.0
Algeria,DZA,2020-09-05,Daily ICU occupancy per million,0.935
Algeria,DZA,2020-09-06,Daily ICU occupancy,44.0
Algeria,DZA,2020-09-06,Daily ICU occupancy per million,0.98
Algeria,DZA,2020-09-07,Daily ICU occupancy,43.0
Algeria,DZA,2020-09-07,Daily ICU occupancy per million,0.958
Algeria,DZA,2020-09-08,Daily ICU occupancy,35.0
Algeria,DZA,2020-09-08,Daily ICU occupancy per million,0.779
Algeria,DZA,2020-09-09,Daily ICU occupancy,40.0
Algeria,DZA,2020-09-09,Daily ICU occupancy per million,0.891
Algeria,DZA,2020-09-10,Daily ICU occupancy,39.0
Algeria,DZA,2020-09-10,Daily ICU occupancy per million,0.869
Algeria,DZA,2020-09-11,Daily ICU occupancy,32.0
Algeria,DZA,2020-09-11,Daily ICU occupancy per million,0.713
Algeria,DZA,2020-09-12,Daily ICU occupancy,36.0
Algeria,DZA,2020-09-12,Daily ICU occupancy per million,0.802
Algeria,DZA,2020-09-13,Daily ICU occupancy,29.0
Algeria,DZA,2020-09-13,Daily ICU occupancy per million,0.646
Algeria,DZA,2020-09-14,Daily ICU occupancy,27.0
Algeria,DZA,2020-09-14,Daily ICU occupancy per million,0.601
Algeria,DZA,2020-09-15,Daily ICU occupancy,31.0
Algeria,DZA,2020-09-15,Daily ICU occupancy per million,0.69
Algeria,DZA,2020-09-16,Daily ICU occupancy,31.0
Algeria,DZA,2020-09-16,Daily ICU occupancy per million,0.69
Algeria,DZA,2020-09-17,Daily ICU occupancy,32.0
Algeria,DZA,2020-09-17,Daily ICU occupancy per million,0.713
Algeria,DZA,2020-09-18,Daily ICU occupancy,27.0
Algeria,DZA,2020-09-18,Daily ICU occupancy per million,0.601
Algeria,DZA,2020-09-19,Daily ICU occupancy,32.0
Algeria,DZA,2020-09-19,Daily ICU occupancy per million,0.713
Algeria,DZA,2020-09-20,Daily ICU occupancy,31.0
Algeria,DZA,2020-09-20,Daily ICU occupancy per million,0.69
Algeria,DZA,2020-09-21,Daily ICU occupancy,29.0
Algeria,DZA,2020-09-21,Daily ICU occupancy per million,0.646
Algeria,DZA,2020-09-22,Daily ICU occupancy,34.0
Algeria,DZA,2020-09-22,Daily ICU occupancy per million,0.757
Algeria,DZA,2020-09-23,Daily ICU occupancy,25.0
Algeria,DZA,2020-09-23,Daily ICU occupancy per million,0.557
Algeria,DZA,2020-09-24,Daily ICU occupancy,27.0
Algeria,DZA,2020-09-24,Daily ICU occupancy per million,0.601
Algeria,DZA,2020-09-25,Daily ICU occupancy,25.0
Algeria,DZA,2020-09-25,Daily ICU occupancy per million,0.557
Algeria,DZA,2020-09-26,Daily ICU occupancy,25.0
Algeria,DZA,2020-09-26,Daily ICU occupancy per million,0.557
Algeria,DZA,2020-09-27,Daily ICU occupancy,22.0
Algeria,DZA,2020-09-27,Daily ICU occupancy per million,0.49
Algeria,DZA,2020-09-28,Daily ICU occupancy,25.0
Algeria,DZA,2020-09-28,Daily ICU occupancy per million,0.557
Algeria,DZA,2020-09-29,Daily ICU occupancy,23.0
Algeria,DZA,2020-09-29,Daily ICU occupancy per million,0.512
Algeria,DZA,2020-09-30,Daily ICU occupancy,23.0
Algeria,DZA,2020-09-30,Daily ICU occupancy per million,0.512
Algeria,DZA,2020-10-01,Daily ICU occupancy,23.0
Algeria,DZA,2020-10-01,Daily ICU occupancy per million,0.512
Algeria,DZA,2020-10-02,Daily ICU occupancy,23.0
Algeria,DZA,2020-10-02,Daily ICU occupancy per million,0.512
Algeria,DZA,2020-10-03,Daily ICU occupancy,25.0
Algeria,DZA,2020-10-03,Daily ICU occupancy per million,0.557
Algeria,DZA,2020-10-04,Daily ICU occupancy,21.0
Algeria,DZA,2020-10-04,Daily ICU occupancy per million,0.468
Algeria,DZA,2020-10-05,Daily ICU occupancy,22.0
Algeria,DZA,2020-10-05,Daily ICU occupancy per million,0.49
Algeria,DZA,2020-10-07,Daily ICU occupancy,31.0
Algeria,DZA,2020-10-07,Daily ICU occupancy per million,0.69
Algeria,DZA,2020-10-08,Daily ICU occupancy,30.0
Algeria,DZA,2020-10-08,Daily ICU occupancy per million,0.668
Algeria,DZA,2020-10-09,Daily ICU occupancy,31.0
Algeria,DZA,2020-10-09,Daily ICU occupancy per million,0.69
Algeria,DZA,2020-10-10,Daily ICU occupancy,31.0
Algeria,DZA,2020-10-10,Daily ICU occupancy per million,0.69
Algeria,DZA,2020-10-11,Daily ICU occupancy,28.0
Algeria,DZA,2020-10-11,Daily ICU occupancy per million,0.624
Algeria,DZA,2020-10-12,Daily ICU occupancy,35.0
Algeria,DZA,2020-10-12,Daily ICU occupancy per million,0.779
Algeria,DZA,2020-10-13,Daily ICU occupancy,38.0
Algeria,DZA,2020-10-13,Daily ICU occupancy per million,0.846
Algeria,DZA,2020-10-14,Daily ICU occupancy,35.0
Algeria,DZA,2020-10-14,Daily ICU occupancy per million,0.779
Algeria,DZA,2020-10-15,Daily ICU occupancy,35.0
Algeria,DZA,2020-10-15,Daily ICU occupancy per million,0.779
Algeria,DZA,2020-10-17,Daily ICU occupancy,36.0
Algeria,DZA,2020-10-17,Daily ICU occupancy per million,0.802
Algeria,DZA,2020-10-18,Daily ICU occupancy,33.0
Algeria,DZA,2020-10-18,Daily ICU occupancy per million,0.735
Algeria,DZA,2020-10-19,Daily ICU occupancy,39.0
Algeria,DZA,2020-10-19,Daily ICU occupancy per million,0.869
Algeria,DZA,2020-10-20,Daily ICU occupancy,38.0
Algeria,DZA,2020-10-20,Daily ICU occupancy per million,0.846
Algeria,DZA,2020-10-21,Daily ICU occupancy,37.0
Algeria,DZA,2020-10-21,Daily ICU occupancy per million,0.824
Algeria,DZA,2020-10-22,Daily ICU occupancy,31.0
Algeria,DZA,2020-10-22,Daily ICU occupancy per million,0.69
Algeria,DZA,2020-10-23,Daily ICU occupancy,33.0
Algeria,DZA,2020-10-23,Daily ICU occupancy per million,0.735
Algeria,DZA,2020-10-24,Daily ICU occupancy,29.0
Algeria,DZA,2020-10-24,Daily ICU occupancy per million,0.646
Algeria,DZA,2020-10-25,Daily ICU occupancy,29.0
Algeria,DZA,2020-10-25,Daily ICU occupancy per million,0.646
Algeria,DZA,2020-10-26,Daily ICU occupancy,30.0
Algeria,DZA,2020-10-26,Daily ICU occupancy per million,0.668
Algeria,DZA,2020-10-28,Daily ICU occupancy,40.0
Algeria,DZA,2020-10-28,Daily ICU occupancy per million,0.891
Algeria,DZA,2020-10-29,Daily ICU occupancy,39.0
Algeria,DZA,2020-10-29,Daily ICU occupancy per million,0.869
Algeria,DZA,2020-10-30,Daily ICU occupancy,48.0
Algeria,DZA,2020-10-30,Daily ICU occupancy per million,1.069
Algeria,DZA,2020-10-31,Daily ICU occupancy,44.0
Algeria,DZA,2020-10-31,Daily ICU occupancy per million,0.98
Algeria,DZA,2020-11-01,Daily ICU occupancy,49.0
Algeria,DZA,2020-11-01,Daily ICU occupancy per million,1.091
Algeria,DZA,2020-11-02,Daily ICU occupancy,46.0
Algeria,DZA,2020-11-02,Daily ICU occupancy per million,1.024
Algeria,DZA,2020-11-04,Daily ICU occupancy,50.0
Algeria,DZA,2020-11-04,Daily ICU occupancy per million,1.114
Algeria,DZA,2020-11-05,Daily ICU occupancy,53.0
Algeria,DZA,2020-11-05,Daily ICU occupancy per million,1.18
Algeria,DZA,2020-11-07,Daily ICU occupancy,59.0
Algeria,DZA,2020-11-07,Daily ICU occupancy per million,1.314
Algeria,DZA,2020-11-08,Daily ICU occupancy,63.0
Algeria,DZA,2020-11-08,Daily ICU occupancy per million,1.403
Algeria,DZA,2020-11-09,Daily ICU occupancy,60.0
Algeria,DZA,2020-11-09,Daily ICU occupancy per million,1.336
Algeria,DZA,2020-11-11,Daily ICU occupancy,49.0
Algeria,DZA,2020-11-11,Daily ICU occupancy per million,1.091
Algeria,DZA,2020-11-12,Daily ICU occupancy,53.0
Algeria,DZA,2020-11-12,Daily ICU occupancy per million,1.18
Algeria,DZA,2020-11-13,Daily ICU occupancy,52.0
Algeria,DZA,2020-11-13,Daily ICU occupancy per million,1.158
Algeria,DZA,2020-11-14,Daily ICU occupancy,42.0
Algeria,DZA,2020-11-14,Daily ICU occupancy per million,0.935
Algeria,DZA,2020-11-15,Daily ICU occupancy,44.0
Algeria,DZA,2020-11-15,Daily ICU occupancy per million,0.98
Algeria,DZA,2020-11-16,Daily ICU occupancy,50.0
Algeria,DZA,2020-11-16,Daily ICU occupancy per million,1.114
Algeria,DZA,2020-11-17,Daily ICU occupancy,39.0
Algeria,DZA,2020-11-17,Daily ICU occupancy per million,0.869
Algeria,DZA,2020-11-18,Daily ICU occupancy,43.0
Algeria,DZA,2020-11-18,Daily ICU occupancy per million,0.958
Algeria,DZA,2020-11-19,Daily ICU occupancy,53.0
Algeria,DZA,2020-11-19,Daily ICU occupancy per million,1.18
Algeria,DZA,2020-11-20,Daily ICU occupancy,49.0
Algeria,DZA,2020-11-20,Daily ICU occupancy per million,1.091
Algeria,DZA,2020-11-21,Daily ICU occupancy,52.0
Algeria,DZA,2020-11-21,Daily ICU occupancy per million,1.158
Algeria,DZA,2020-11-22,Daily ICU occupancy,46.0
Algeria,DZA,2020-11-22,Daily ICU occupancy per million,1.024
Algeria,DZA,2020-11-23,Daily ICU occupancy,46.0
Algeria,DZA,2020-11-23,Daily ICU occupancy per million,1.024
Algeria,DZA,2020-11-26,Daily ICU occupancy,44.0
Algeria,DZA,2020-11-26,Daily ICU occupancy per million,0.98
Algeria,DZA,2020-11-27,Daily ICU occupancy,50.0
Algeria,DZA,2020-11-27,Daily ICU occupancy per million,1.114
Algeria,DZA,2020-11-28,Daily ICU occupancy,51.0
Algeria,DZA,2020-11-28,Daily ICU occupancy per million,1.136
Algeria,DZA,2020-11-30,Daily ICU occupancy,46.0
Algeria,DZA,2020-11-30,Daily ICU occupancy per million,1.024
Algeria,DZA,2020-12-01,Daily ICU occupancy,46.0
Algeria,DZA,2020-12-01,Daily ICU occupancy per million,1.024
Algeria,DZA,2020-12-03,Daily ICU occupancy,45.0
Algeria,DZA,2020-12-03,Daily ICU occupancy per million,1.002
Algeria,DZA,2020-12-07,Daily ICU occupancy,38.0
Algeria,DZA,2020-12-07,Daily ICU occupancy per million,0.846
Algeria,DZA,2020-12-08,Daily ICU occupancy,44.0
Algeria,DZA,2020-12-08,Daily ICU occupancy per million,0.98
Algeria,DZA,2020-12-09,Daily ICU occupancy,42.0
Algeria,DZA,2020-12-09,Daily ICU occupancy per million,0.935
Algeria,DZA,2020-12-10,Daily ICU occupancy,44.0
Algeria,DZA,2020-12-10,Daily ICU occupancy per million,0.98
Algeria,DZA,2020-12-11,Daily ICU occupancy,46.0
Algeria,DZA,2020-12-11,Daily ICU occupancy per million,1.024
Algeria,DZA,2020-12-12,Daily ICU occupancy,42.0
Algeria,DZA,2020-12-12,Daily ICU occupancy per million,0.935
Algeria,DZA,2020-12-13,Daily ICU occupancy,46.0
Algeria,DZA,2020-12-13,Daily ICU occupancy per million,1.024
Algeria,DZA,2020-12-15,Daily ICU occupancy,46.0
Algeria,DZA,2020-12-15,Daily ICU occupancy per million,1.024
Algeria,DZA,2020-12-16,Daily ICU occupancy,44.0
Algeria,DZA,2020-12-16,Daily ICU occupancy per million,0.98
Algeria,DZA,2020-12-17,Daily ICU occupancy,45.0
Algeria,DZA,2020-12-17,Daily ICU occupancy per million,1.002
Algeria,DZA,2020-12-20,Daily ICU occupancy,50.0
Algeria,DZA,2020-12-20,Daily ICU occupancy per million,1.114
Algeria,DZA,2020-12-21,Daily ICU occupancy,43.0
Algeria,DZA,2020-12-21,Daily ICU occupancy per million,0.958
Algeria,DZA,2020-12-22,Daily ICU occupancy,49.0
Algeria,DZA,2020-12-22,Daily ICU occupancy per million,1.091
Algeria,DZA,2020-12-23,Daily ICU occupancy,49.0
Algeria,DZA,2020-12-23,Daily ICU occupancy per million,1.091
Algeria,DZA,2020-12-24,Daily ICU occupancy,46.0
Algeria,DZA,2020-12-24,Daily ICU occupancy per million,1.024
Algeria,DZA,2020-12-29,Daily ICU occupancy,40.0
Algeria,DZA,2020-12-29,Daily ICU occupancy per million,0.891
Algeria,DZA,2020-12-30,Daily ICU occupancy,43.0
Algeria,DZA,2020-12-30,Daily ICU occupancy per million,0.958
Algeria,DZA,2021-01-01,Daily ICU occupancy,42.0
Algeria,DZA,2021-01-01,Daily ICU occupancy per million,0.935
Algeria,DZA,2021-01-02,Daily ICU occupancy,31.0
Algeria,DZA,2021-01-02,Daily ICU occupancy per million,0.69
Algeria,DZA,2021-01-03,Daily ICU occupancy,36.0
Algeria,DZA,2021-01-03,Daily ICU occupancy per million,0.802
Algeria,DZA,2021-01-04,Daily ICU occupancy,27.0
Algeria,DZA,2021-01-04,Daily ICU occupancy per million,0.601
Algeria,DZA,2021-01-05,Daily ICU occupancy,29.0
Algeria,DZA,2021-01-05,Daily ICU occupancy per million,0.646
Algeria,DZA,2021-01-06,Daily ICU occupancy,32.0
Algeria,DZA,2021-01-06,Daily ICU occupancy per million,0.713
Algeria,DZA,2021-01-07,Daily ICU occupancy,27.0
Algeria,DZA,2021-01-07,Daily ICU occupancy per million,0.601
Algeria,DZA,2021-01-08,Daily ICU occupancy,34.0
Algeria,DZA,2021-01-08,Daily ICU occupancy per million,0.757
Algeria,DZA,2021-01-09,Daily ICU occupancy,33.0
Algeria,DZA,2021-01-09,Daily ICU occupancy per million,0.735
Algeria,DZA,2021-01-10,Daily ICU occupancy,29.0
Algeria,DZA,2021-01-10,Daily ICU occupancy per million,0.646
Algeria,DZA,2021-01-11,Daily ICU occupancy,28.0
Algeria,DZA,2021-01-11,Daily ICU occupancy per million,0.624
Algeria,DZA,2021-01-12,Daily ICU occupancy,24.0
Algeria,DZA,2021-01-12,Daily ICU occupancy per million,0.534
Algeria,DZA,2021-01-15,Daily ICU occupancy,28.0
Algeria,DZA,2021-01-15,Daily ICU occupancy per million,0.624
Algeria,DZA,2021-01-16,Daily ICU occupancy,23.0
Algeria,DZA,2021-01-16,Daily ICU occupancy per million,0.512
Algeria,DZA,2021-01-17,Daily ICU occupancy,32.0
Algeria,DZA,2021-01-17,Daily ICU occupancy per million,0.713
Algeria,DZA,2021-01-18,Daily ICU occupancy,28.0
Algeria,DZA,2021-01-18,Daily ICU occupancy per million,0.624
Algeria,DZA,2021-01-19,Daily ICU occupancy,29.0
Algeria,DZA,2021-01-19,Daily ICU occupancy per million,0.646
Algeria,DZA,2021-01-20,Daily ICU occupancy,32.0
Algeria,DZA,2021-01-20,Daily ICU occupancy per million,0.713
Algeria,DZA,2021-01-21,Daily ICU occupancy,31.0
Algeria,DZA,2021-01-21,Daily ICU occupancy per million,0.69
Algeria,DZA,2021-01-22,Daily ICU occupancy,36.0
Algeria,DZA,2021-01-22,Daily ICU occupancy per million,0.802
Algeria,DZA,2021-01-23,Daily ICU occupancy,29.0
Algeria,DZA,2021-01-23,Daily ICU occupancy per million,0.646
Algeria,DZA,2021-01-24,Daily ICU occupancy,34.0
Algeria,DZA,2021-01-24,Daily ICU occupancy per million,0.757
Algeria,DZA,2021-01-25,Daily ICU occupancy,34.0
Algeria,DZA,2021-01-25,Daily ICU occupancy per million,0.757
Algeria,DZA,2021-01-26,Daily ICU occupancy,34.0
Algeria,DZA,2021-01-26,Daily ICU occupancy per million,0.757
Algeria,DZA,2021-01-27,Daily ICU occupancy,39.0
Algeria,DZA,2021-01-27,Daily ICU occupancy per million,0.869
Algeria,DZA,2021-01-30,Daily ICU occupancy,33.0
Algeria,DZA,2021-01-30,Daily ICU occupancy per million,0.735
Algeria,DZA,2021-02-01,Daily ICU occupancy,29.0
Algeria,DZA,2021-02-01,Daily ICU occupancy per million,0.646
Algeria,DZA,2021-02-02,Daily ICU occupancy,23.0
Algeria,DZA,2021-02-02,Daily ICU occupancy per million,0.512
Algeria,DZA,2021-02-05,Daily ICU occupancy,21.0
Algeria,DZA,2021-02-05,Daily ICU occupancy per million,0.468
Algeria,DZA,2021-02-08,Daily ICU occupancy,25.0
Algeria,DZA,2021-02-08,Daily ICU occupancy per million,0.557
Algeria,DZA,2021-02-10,Daily ICU occupancy,25.0
Algeria,DZA,2021-02-10,Daily ICU occupancy per million,0.557
Algeria,DZA,2021-02-12,Daily ICU occupancy,22.0
Algeria,DZA,2021-02-12,Daily ICU occupancy per million,0.49
Algeria,DZA,2021-02-13,Daily ICU occupancy,20.0
Algeria,DZA,2021-02-13,Daily ICU occupancy per million,0.445
Algeria,DZA,2021-02-14,Daily ICU occupancy,19.0
Algeria,DZA,2021-02-14,Daily ICU occupancy per million,0.423
Algeria,DZA,2021-02-19,Daily ICU occupancy,18.0
Algeria,DZA,2021-02-19,Daily ICU occupancy per million,0.401
Algeria,DZA,2021-02-20,Daily ICU occupancy,16.0
Algeria,DZA,2021-02-20,Daily ICU occupancy per million,0.356
Algeria,DZA,2021-02-21,Daily ICU occupancy,15.0
Algeria,DZA,2021-02-21,Daily ICU occupancy per million,0.334
Algeria,DZA,2021-02-23,Daily ICU occupancy,19.0
Algeria,DZA,2021-02-23,Daily ICU occupancy per million,0.423
Algeria,DZA,2021-02-25,Daily ICU occupancy,18.0
Algeria,DZA,2021-02-25,Daily ICU occupancy per million,0.401
Algeria,DZA,2021-02-26,Daily ICU occupancy,21.0
Algeria,DZA,2021-02-26,Daily ICU occupancy per million,0.468
Algeria,DZA,2021-02-27,Daily ICU occupancy,21.0
Algeria,DZA,2021-02-27,Daily ICU occupancy per million,0.468
Algeria,DZA,2021-02-28,Daily ICU occupancy,22.0
Algeria,DZA,2021-02-28,Daily ICU occupancy per million,0.49
Algeria,DZA,2021-03-01,Daily ICU occupancy,22.0
Algeria,DZA,2021-03-01,Daily ICU occupancy per million,0.49
Algeria,DZA,2021-03-02,Daily ICU occupancy,23.0
Algeria,DZA,2021-03-02,Daily ICU occupancy per million,0.512
Algeria,DZA,2021-03-07,Daily ICU occupancy,21.0
Algeria,DZA,2021-03-07,Daily ICU occupancy per million,0.468
Algeria,DZA,2021-03-10,Daily ICU occupancy,19.0
Algeria,DZA,2021-03-10,Daily ICU occupancy per million,0.423
Algeria,DZA,2021-03-12,Daily ICU occupancy,15.0
Algeria,DZA,2021-03-12,Daily ICU occupancy per million,0.334
Algeria,DZA,2021-03-22,Daily ICU occupancy,7.0
Algeria,DZA,2021-03-22,Daily ICU occupancy per million,0.156
Algeria,DZA,2021-03-23,Daily ICU occupancy,9.0
Algeria,DZA,2021-03-23,Daily ICU occupancy per million,0.2
Algeria,DZA,2021-03-24,Daily ICU occupancy,9.0
Algeria,DZA,2021-03-24,Daily ICU occupancy per million,0.2
Algeria,DZA,2021-03-25,Daily ICU occupancy,17.0
Algeria,DZA,2021-03-25,Daily ICU occupancy per million,0.379
Algeria,DZA,2021-03-26,Daily ICU occupancy,18.0
Algeria,DZA,2021-03-26,Daily ICU occupancy per million,0.401
Algeria,DZA,2021-03-27,Daily ICU occupancy,20.0
Algeria,DZA,2021-03-27,Daily ICU occupancy per million,0.445
Algeria,DZA,2021-03-28,Daily ICU occupancy,19.0
Algeria,DZA,2021-03-28,Daily ICU occupancy per million,0.423
Algeria,DZA,2021-03-29,Daily ICU occupancy,20.0
Algeria,DZA,2021-03-29,Daily ICU occupancy per million,0.445
Algeria,DZA,2021-03-30,Daily ICU occupancy,15.0
Algeria,DZA,2021-03-30,Daily ICU occupancy per million,0.334
Algeria,DZA,2021-03-31,Daily ICU occupancy,15.0
Algeria,DZA,2021-03-31,Daily ICU occupancy per million,0.334
Algeria,DZA,2021-04-01,Daily ICU occupancy,14.0
Algeria,DZA,2021-04-01,Daily ICU occupancy per million,0.312
Algeria,DZA,2021-04-02,Daily ICU occupancy,16.0
Algeria,DZA,2021-04-02,Daily ICU occupancy per million,0.356
Algeria,DZA,2021-04-03,Daily ICU occupancy,20.0
Algeria,DZA,2021-04-03,Daily ICU occupancy per million,0.445
Algeria,DZA,2021-04-04,Daily ICU occupancy,20.0
Algeria,DZA,2021-04-04,Daily ICU occupancy per million,0.445
Algeria,DZA,2021-04-05,Daily ICU occupancy,16.0
Algeria,DZA,2021-04-05,Daily ICU occupancy per million,0.356
Algeria,DZA,2021-04-06,Daily ICU occupancy,19.0
Algeria,DZA,2021-04-06,Daily ICU occupancy per million,0.423
Algeria,DZA,2021-04-07,Daily ICU occupancy,20.0
Algeria,DZA,2021-04-07,Daily ICU occupancy per million,0.445
Algeria,DZA,2021-04-08,Daily ICU occupancy,20.0
Algeria,DZA,2021-04-08,Daily ICU occupancy per million,0.445
Algeria,DZA,2021-04-09,Daily ICU occupancy,19.0
Algeria,DZA,2021-04-09,Daily ICU occupancy per million,0.423
Algeria,DZA,2021-04-10,Daily ICU occupancy,19.0
Algeria,DZA,2021-04-10,Daily ICU occupancy per million,0.423
Algeria,DZA,2021-04-11,Daily ICU occupancy,19.0
Algeria,DZA,2021-04-11,Daily ICU occupancy per million,0.423
Algeria,DZA,2021-04-12,Daily ICU occupancy,14.0
Algeria,DZA,2021-04-12,Daily ICU occupancy per million,0.312
Algeria,DZA,2021-04-13,Daily ICU occupancy,19.0
Algeria,DZA,2021-04-13,Daily ICU occupancy per million,0.423
Algeria,DZA,2021-04-14,Daily ICU occupancy,17.0
Algeria,DZA,2021-04-14,Daily ICU occupancy per million,0.379
Algeria,DZA,2021-04-15,Daily ICU occupancy,16.0
Algeria,DZA,2021-04-15,Daily ICU occupancy per million,0.356
Algeria,DZA,2021-04-16,Daily ICU occupancy,12.0
Algeria,DZA,2021-04-16,Daily ICU occupancy per million,0.267
Algeria,DZA,2021-04-17,Daily ICU occupancy,15.0
Algeria,DZA,2021-04-17,Daily ICU occupancy per million,0.334
Algeria,DZA,2021-04-18,Daily ICU occupancy,21.0
Algeria,DZA,2021-04-18,Daily ICU occupancy per million,0.468
Algeria,DZA,2021-04-19,Daily ICU occupancy,22.0
Algeria,DZA,2021-04-19,Daily ICU occupancy per million,0.49
Algeria,DZA,2021-04-20,Daily ICU occupancy,19.0
Algeria,DZA,2021-04-20,Daily ICU occupancy per million,0.423
Algeria,DZA,2021-04-21,Daily ICU occupancy,21.0
Algeria,DZA,2021-04-21,Daily ICU occupancy per million,0.468
Algeria,DZA,2021-04-22,Daily ICU occupancy,23.0
Algeria,DZA,2021-04-22,Daily ICU occupancy per million,0.512
Algeria,DZA,2021-04-23,Daily ICU occupancy,22.0
Algeria,DZA,2021-04-23,Daily ICU occupancy per million,0.49
Algeria,DZA,2021-04-24,Daily ICU occupancy,22.0
